code;description;description[el];description[en];lat;lon
11573;Port Parallel Road - 6th Stop;Παράλληλος Λιμανιού - 6η Στάση;Port Parallel Road - 6th Stop;34,6578218232407;33,0165448188319
31897;1st Stop Choulou 1;1η Στάση Χούλου 1;1st Stop Choulou 1;34,8683873158259;32,5554271522462
30706;Agia Marina Church 2;Εκκλησία Αγίας Μαρίνας 2;Agia Marina Church 2;35,1201082401399;32,513534507291
949;High School Konstantinoupoleos 1;Γυμνάσιο Κωνσταντινουπόλεως 1;High School Konstantinoupoleos 1;35,128766965901;33,343611691178
684;Larnakos - Athalassis Avenue;Λάρνακος - Λεωφόρος Αθαλάσσης;Larnakos - Athalassis Avenue;35,1538918143343;33,4013033119756
686;Larnakos - Charilaou Michail;Λάρνακος - Χαριλάου Μιχαήλ;Larnakos - Charilaou Michail;35,1527656835822;33,4037131750903
20232;Lefkara - Vavatsinia Road - 1st Stop;Δρόμος Λευκάρων - Βαβατσινιάς - 1η Στάση;Lefkara - Vavatsinia Road - 1st Stop;34,8694150962494;33,2967289910821
21824;Aplanta Military Camp 1;Στρατόπεδο Απλάντας 1;Aplanta Military Camp 1;34,8300058084804;33,4739593156873
5019;Arsinois - Acropoleos Ave; Αρσινόης - Ακροπόλεως;Arsinois - Acropoleos Ave;35,1550553329258;33,3610805971013
10759;Agiou Athanasiou - Anoikodomiseos;Αγίου Αθανασίου - Ανοικοδομήσεως;Agiou Athanasiou - Anoikodomiseos;34,7099406228661;33,0601927438627
1111;Dimitri Stavrou - Sporting Club 1;Δημήτρη Σταύρου - Sporting Club 1;Dimitri Stavrou - Sporting Club 1;35,0899504868235;33,393189712408
297;Ave. Tseriou - Paragogikotitas 2;Λεωφ. Τσερίου - Παραγωγικότητας 2;Ave. Tseriou - Paragogikotitas 2;35,0980911477973;33,3270362811001
10134;14 Street - 28 Street;14 Δρόμος - 28 Δρόμος;14 Street - 28 Street;34,6677630826458;32,909341913681
20412;Alaminos - Mazotos Road - 1st Stop;Δρόμος Αλαμινός - Μαζωτός - 1η Στάση;Alaminos - Mazotos Road - 1st Stop;34,8062958489687;33,465306831896
2469;Anageia Community Stadium;Κοινοτικό Στάδιο Ανάγυιας;Anageia Community Stadium;35,0765562285507;33,256530105932
5022;Glafkou - Knosou;Γλαύκου - Κνωσού;Glafkou - Knosou;35,1578782483592;33,3547906862698
10778;Milias - Ardanon;Μηλιάς - Αρδάνων;Milias - Ardanon;34,702791935513;33,0549244305383
10054;Amathountos Ave. - Four Seasons Hotel;Λεωφ. Αμαθούντος - Ξενοδοχείο Four Seasons;Amathountos Ave. - Four Seasons Hotel;34,7085467306172;33,1259527047505
11010;Apostolou Andreou - 3rd Pissouri 2;Αποστόλου Ανδρέου - 3η Πισσουρίου 2;Apostolou Andreou - 3rd Pissouri 2;34,6697739161451;32,7006447029015
40028;Apostolou Varnava - Ydragogeiou;Αποστόλου Βαρνάβα - Υδραγωγείου;Apostolou Varnava - Ydragogeiou;35,0420312889528;33,9152108890602
10668;Miltonos - Tefkrou Anthia 1;Μίλτωνος - Τεύκρου Ανθία 2;Miltonos - Tefkrou Anthia 1;34,6706553603509;33,0052829334591
10289;Spyrou Kyprianou Ave. - Ioanni Tsimiski;Λεωφ. Σπύρου Κυπριανού - Ιωάννη Τσιμισκή;Spyrou Kyprianou Ave. - Ioanni Tsimiski;34,698456596777;33,0496477858176
21194;Georgiou Griva Digeni - Michail Koutsofta;Γεώργιου Γρίβα Διγενή - Μιχαήλ Κουτσόφτα;Georgiou Griva Digeni - Michail Koutsofta;34,9834242819018;33,6553250256492
1197;Elefsinos - Armenias;Ελευσίνος - Αρμενίας;Elefsinos - Armenias;35,1518255600955;33,3676207598162
1389;Dimokratias 2;Δημοκρατίας;Dimokratias 2;35,1029895293208;33,4200358870299
637;Ave. Kiryneias - Valtetsiou;Λεωφ. Κηρυνείας - Βαλτετσίου;Ave. Kiryneias - Valtetsiou;35,1468801495634;33,4001930179964
2379;Orounta Community Board 2;Κοινοτικό Συμβούλιο Ορούντας 2;Orounta Community Board 2;35,1025353721202;33,0941761840296
40924;Agia Napa Athletic Centre;Αθλητικό Κέντρο Αγίας Νάπας;Agia Napa Athletic Centre;34,9926971757643;34,0152593540454
2003;Ave. Arch. Makariou C - Agias Marinas;Λεωφ. Αρχ. Μακαρίου Γ - Αγίας Μαρίνας;Ave. Arch. Makariou C - Agias Marinas;34,9509116775136;33,2983147058548
338;Bank of Cyprus Oncology Center 1;Ογκολογικό Κέντρο Τράπεζας Κύπρου 1;Bank of Cyprus Oncology Center 1;35,1523643968928;33,3593340229035
10869;Petrompei Mavromichali - Chatzigeorgaki Kornesiou;Πετρόμπεη Μαυρομιχάλη - Χατζηγεωργάκη Κορνέσιου;Petrompei Mavromichali - Chatzigeorgaki Kornesiou;34,7009001348757;33,0688341389062
10260;15Elementary School - Agios Neofytos 1;15 Δημοτικό Σχολείο - Αγίου Νεοφύτου 1;15Elementary School - Agios Neofytos 1;34,6822067990434;33,0124340841501
10225;Health Centre 1;Κέντρο Υγείας 1;Health Centre 1;34,6992646392521;33,0743795878281
22189;Mosfiloti - Sia Road - 2nd Stop;Δρόμος Μοσφιλωτή - Σια - 2η Στάση;Mosfiloti - Sia Road - 2nd Stop;34,9456262648368;33,4153659371072
10698;Kalogeropoulos High School 1;Γυμνάσιο Καλογεροπούλου 1;Kalogeropoulos High School 1;34,7030140159618;33,0404891327379
26006;Pascal English School 2;Pascal English School 2;Pascal English School 2;34,9535135660529;33,567632768845
20710;Agion Trion Paidon - 2nd Stop;Αγίων Τριών Παίδων - 2η Στάση;Agion Trion Paidon - 2nd Stop;34,7605618006224;33,4090717883827
40113;Nisi Ave. - Neofytou Poullou;Λεωφ. Νησί - Νεόφυτου Πούλλου;Nisi Ave. - Neofytou Poullou;34,9893875070241;33,9768480544883
134;Ministry of Transport, Communications and Works 1;Υπουργείο Μεταφορών Επικοινωνιών και Έργων 1;Ministry of Transport, Communications and Works 1;35,1688630420403;33,3447576120447
21882;Nikou Gkatsou;Νικού Γκάτσου;Nikou Gkatsou;34,918114336643;33,5897220753905
159;Eptanisou - Ydras;Επτανήσου - Ύδρας;Eptanisou - Ydras;35,1229284052001;33,2975576601991
10036;Amathountos Ave. - Ellados;Λεωφ. Αμαθούντος - Ελλάδος;Amathountos Ave. - Ellados;34,7091052378266;33,1265323214247
20699;Panagias Astadiotissas - 16th Stop;Παναγίας Ασταδιώτισσας - 16η Στάση;Panagias Astadiotissas - 16th Stop;34,8022130145477;33,3846358798588
31861;Kidasi 1;Κιδάσι 1;Kidasi 1;34,8074948560643;32,7124036020317
30702;Pomos Cultural Centre;Πολιτιστικό Κέντρο Πομού;Pomos Cultural Centre;35,162076430448;32,546730667051
40520;Agiou Panteleimonos - 1st Stop;Αγίου Παντελεήμονος - 1η Στάση;Agiou Panteleimonos - 1st Stop;35,0328551140173;33,9971962515664
1195;Thermopylon - Faidras;Θερμοπυλών - Φαίδρας;Thermopylon - Faidras;35,1507835413201;33,3663095950849
6103;1st Kykkou Nikiforou Ave.;1st Λεωφ. Κύκκου Νικηφόρου;1st Kykkou Nikiforou Ave.;34,9407474147165;33,1219701708111
11196;Archiep. Makariou C´ Ave. - 11th Kyperounta 1;Λεωφ. Αρχιεπ. Μακαρίου Γ´ - 11η Κυπερούντας 1;Archiep. Makariou C´ Ave. - 11th Kyperounta 1;34,9499058158471;32,9494344566838
11251;3rd Moni - Monagroulli Road 2;3η Δρόμος Μονής - Μοναγρούλλι 2;3rd Moni - Monagroulli Road 2;34,7382544079711;33,209085838441
